Title,Location,Price,Area
Apartment Curaçaostraat 117 3,                        1058 BT Amsterdam (Westindische Buurt)        ,"                    €1,500 per month                ",62 m²
Apartment Jacob van Lennepstraat,                        1053 HG Amsterdam (Van Lennepbuurt)        ,"                    €1,600 per month                ",50 m²
Apartment Sassenheimstraat,                        1059 BA Amsterdam (Hoofddorppleinbuurt)        ,"                    €1,600 per month                ",55 m²
Apartment Kerkstraat,                        1017 GP Amsterdam (Grachtengordel-Zuid)        ,"                    €1,750 per month                ",34 m²
Apartment Bosboom Toussaintstraat 31 II,                        1054 AN Amsterdam (Helmersbuurt)        ,"                    €1,550 per month                ",50 m²
Apartment Stadionkade,                        1077 VL Amsterdam (Apollobuurt)        ,"                    €3,250 per month                ",129 m²
Apartment Rokin,                        1012 KW Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                    €2,295 per month                ",90 m²
Apartment Borneostraat,                        1094 CP Amsterdam (Indische Buurt West)        ,"                    €1,575 per month                ",55 m²
Apartment Uiterwaardenstraat,                        1079 DE Amsterdam (Scheldebuurt)        ,"                    €1,975 per month                ",80 m²
Apartment Adelaarsweg,                        1021 BV Amsterdam (IJplein/Vogelbuurt)        ,"                    €1,600 per month                ",53 m²
Apartment Sanderijnstraat,                        1055 BM Amsterdam (Erasmuspark)        ,"                    €1,500 per month                ",65 m²
Apartment Rustenburgerstraat 335 HS,                        1072 GR Amsterdam (Nieuwe Pijp)        ,"                    €2,475 per month                ",120 m²
Apartment Van Speijkstraat 154 H,                        1057 HK Amsterdam (Chassébuurt)        ,"                    €2,200 per month                ",120 m²
Apartment Purperhoedenveem 30,                        1019 HM Amsterdam (Oostelijk Havengebied)        ,"                    €1,490 per month                ",99 m²
Apartment Silodam,                        1013 AS Amsterdam (Houthavens)        ,"                    €1,550 per month                ",63 m²
Apartment Rokin 66 2,                        1012 KW Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                    €2,200 per month                ",85 m²
Apartment Cornelis Trooststraat,                        1072 JE Amsterdam (Nieuwe Pijp)        ,"                    €1,650 per month                ",55 m²
Apartment Arondeusstraat 1,                        1063 GB Amsterdam (Slotermeer-Noordoost)        ,"                    €1,650 per month                ",120 m²
House Nieuwe Prinsengracht,                        1018 ED Amsterdam (Weesperbuurt/Plantage)        ,"                    €1,650 per month                ",80 m²
Apartment Bartholomeus Diazstraat,                        1057 SZ Amsterdam (Hoofdweg e.o.)        ,"                    €1,550 per month                ",50 m²
Apartment John Blankensteinstraat 73,                        1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                    €1,350 per month                ",55 m²
Apartment Bilderdijkstraat 186 I,                        1053 LD Amsterdam (Van Lennepbuurt)        ,"                    €1,800 per month                ",57 m²
Apartment Hoogoord,"                        1102 CB Amsterdam (Bijlmer Centrum (D,F,H))        ","                    €1,400 per month                ",70 m²
Apartment IJselstraat 42 3,                        1078 CJ Amsterdam (IJselbuurt)        ,"                    €1,675 per month                ",58 m²
Apartment Herculesstraat 132 2,                        1076 SV Amsterdam (Stadionbuurt)        ,"                    €1,450 per month                ",53 m²
Apartment Raadhuisstraat,                        1016 DB Amsterdam (Grachtengordel-West)        ,"                    €1,650 per month                ",40 m²
Apartment Oudeschans 87 1,                        1011 KW Amsterdam (Nieuwmarkt/Lastage)        ,"                    €1,950 per month                ",72 m²
Apartment Beulingstraat 2 B,                        1017 BA Amsterdam (Grachtengordel-Zuid)        ,"                    €3,300 per month                ",120 m²
Apartment Sumatrastraat,                        1094 NP Amsterdam (Indische Buurt West)        ,"                    €1,750 per month                ",72 m²
Apartment Rosmarijnsteeg 13,                        1012 RP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                    €1,750 per month                ",77 m²
Apartment Valkenburgerstraat,                        1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                    €1,915 per month                ",90 m²
